Year,Season,Date,Time,At,Opponent,Location,Score
2016,2016-17 Men's Basketball,11/22/2016,7:00 PM,Home,Arkansas,Williams Arena,W 85-71
2016,2016-17 Men's Basketball,11/25/2016,7:00 PM,Home,Southern Illinois,Williams Arena,W 57-45
2016,2016-17 Men's Basketball,12/06/2016,7:00 PM,Home,NJIT,Williams Arena,W 74-68
2016,2016-17 Men's Basketball,12/09/2016,8:00 PM,Home,Georgia Southern,Williams Arena,W 86-49
2016,2016-17 Men's Basketball,12/11/2016,4:00 PM,Home,Northern Illinois,Williams Arena,W 77-57
2016,2016-17 Men's Basketball,12/14/2016,7:00 PM,Home,LIU Brooklyn,Williams Arena,W 76-66
2016,2016-17 Men's Basketball,12/23/2016,6:00 PM,Home,Arkansas State,Williams Arena,W 82-75
2016,2016-17 Men's Basketball,12/27/2016,8:00 PM,Home,Michigan State,Williams Arena,L 74-75
2017,2016-17 Men's Basketball,01/08/2017,6:30 PM,Home,Ohio State,Williams Arena,W 78-68
2017,2016-17 Men's Basketball,01/21/2017,3:30 PM,Home,Wisconsin,Williams Arena,L 76-78
2017,2016-17 Men's Basketball,01/28/2017,1:15 PM,Home,Maryland,Williams Arena,L 78-85
2017,2016-17 Men's Basketball,02/08/2017,8:00 PM,Home,Iowa,Williams Arena,W 101-89
2017,2016-17 Men's Basketball,02/15/2017,8:00 PM,Home,Indiana,Williams Arena,W 75-74
2017,2016-17 Men's Basketball,02/19/2017,6:00 PM,Home,Michigan,Williams Arena,W 83-78
2017,2016-17 Men's Basketball,02/25/2017,2:00 PM,Home,Penn State,Williams Arena,W 81-71
2017,2016-17 Men's Basketball,03/02/2017,6:00 PM,Home,Nebraska,Williams Arena,W 88-73
2017,2017-18 Men's Basketball,11/02/2017,7:00 PM,Home,Concordia-St. Paul (Exhibition),Williams Arena,W 106-58
2017,2017-18 Men's Basketball,11/05/2017,12:00 PM,Home,Green Bay (Exhibition),Maturi Pavilion,W 115-86
2017,2017-18 Men's Basketball,11/10/2017,7:00 PM,Home,USC Upstate,Williams Arena,W 92-77
2017,2017-18 Men's Basketball,11/15/2017,7:00 PM,Home,Niagara,Williams Arena,W 107-81
2017,2017-18 Men's Basketball,11/19/2017,3:30 PM,Home,Western Carolina,Williams Arena,W 92-64
2017,2017-18 Men's Basketball,11/21/2017,7:00 PM,Home,Alabama A&M,Williams Arena,W 100-57
2017,2017-18 Men's Basketball,11/29/2017,8:15 PM,Home,Miami,Williams Arena,L 81-86
2017,2017-18 Men's Basketball,12/03/2017,5:00 PM,Home,Rutgers,Williams Arena,W 89-67
2017,2017-18 Men's Basketball,12/11/2017,7:00 PM,Home,Drake University,Williams Arena,W 68-67
2017,2017-18 Men's Basketball,12/21/2017,7:00 PM,Home,Oral Roberts,Williams Arena,W 77-63
2017,2017-18 Men's Basketball,12/23/2017,2:30 PM,Home,Florida Atlantic,Williams Arena,W 95-60
2017,2017-18 Men's Basketball,12/30/2017,1:00 PM,Home,Harvard,Williams Arena,W 65-55
2018,2017-18 Men's Basketball,01/03/2018,8:00 PM,Home,Illinois,Williams Arena,W 77-67
2018,2017-18 Men's Basketball,01/06/2018,4:15 PM,Home,Indiana,Williams Arena,L 71-75
2018,2017-18 Men's Basketball,01/13/2018,11:00 AM,Home,Purdue,Williams Arena,L 47-81
2018,2017-18 Men's Basketball,01/23/2018,8:00 PM,Home,Northwestern,Williams Arena,L 69-77
2018,2017-18 Men's Basketball,02/06/2018,8:00 PM,Home,Nebraska,Williams Arena,L 85-91
2018,2017-18 Men's Basketball,02/13/2018,8:00 PM,Home,Michigan State,Williams Arena,L 57-87
2018,2017-18 Men's Basketball,02/21/2018,8:00 PM,Home,Iowa,Williams Arena,W 86-82
1882,1882 Football,09/29/1882,All Day,Home,Hamline,"Minneapolis, Minn.",W 4-0
1882,1882 Football,09/29/1882,All Day,Home,Hamline,"Minneapolis, Minn.",L 0-2
1883,1883 Football,08/01/1883,TBA,Home,Carleton,"Minneapolis, Minn.",L 2-4
1883,1883 Football,08/02/1883,TBA,Home,Ex-Collegiates,"Minneapolis, Minn.",L 2-4
1883,1883 Football,11/03/1883,TBA,Home,Hamline,"Minneapolis, Minn.",W 5-0
1886,1886 Football,08/02/1886,TBA,Home,Shattuck,"Minneapolis, Minn.",L 9-18
1887,1887 Football,08/01/1887,TBA,Home,Alumni,"Minneapolis, Minn.",W 14-0
1887,1887 Football,08/02/1887,TBA,Home,Minneapolis High School,"Minneapolis, Minn.",W 8-0
1888,1888 Football,10/31/1888,TBA,Home,Shattuck,"Minneapolis, Minn.",W 14-0
1889,1889 Football,10/05/1889,TBA,Home,Ex-Collegiates,"Minneapolis, Minn.",W 2-0
1889,1889 Football,10/26/1889,TBA,Home,Ex-Collegiates,"Minneapolis, Minn.",W 10-0
1889,1889 Football,11/20/1889,TBA,Home,Shattuck,"Minneapolis, Minn.",W 26-0
1890,1890 Football,11/05/1890,TBA,Home,Ex-Collegiates,"Minneapolis, Minn.",T 0-0
1890,1890 Football,11/08/1890,TBA,Home,Grinnell,"Minneapolis, Minn.",W 18-13
1890,1890 Football,11/15/1890,TBA,Home,Wisconsin,"Minneapolis, Minn.",W 63-0
1890,1890 Football,11/19/1890,TBA,Home,Ex-Collegiates,"Minneapolis, Minn.",L 11-14
1890,1890 Football,11/29/1890,TBA,Home,Ex-Collegiates,"Minneapolis, Minn.",W 14-6
1891,1891 Football,09/17/1891,TBA,Home,Ex-Collegiates,"Minneapolis, Minn.",L 0-4
1891,1891 Football,10/24/1891,TBA,Home,Wisconsin,"Minneapolis, Minn.",W 26-16
1891,1891 Football,11/14/1891,TBA,Home,Grinnell,"Minneapolis, Minn.",W 22-14
1892,1892 Football,10/01/1892,TBA,Home,Ex-Collegiates,"Minneapolis, Minn.",W 18-10
1892,1892 Football,10/17/1892,TBA,Home,Michigan,"Minneapolis, Minn.",W 14-6
1892,1892 Football,10/22/1892,TBA,Home,Grinnell,"Minneapolis, Minn.",W 40-24
1892,1892 Football,10/29/1892,TBA,Home,Wisconsin,"Minneapolis, Minn.",W 32-4
1893,1893 Football,10/14/1893,TBA,Home,Kansas,"Minneapolis, Minn.",W 12-0
1893,1893 Football,10/21/1893,TBA,Home,Grinnell,"Minneapolis, Minn.",W 36-6
1893,1893 Football,11/11/1893,TBA,Home,Wisconsin,"Minneapolis, Minn.",W 40-0
1894,1894 Football,10/13/1894,TBA,Home,Grinnell,"Minneapolis, Minn.",W 10-2
1894,1894 Football,10/27/1894,TBA,Home,Purdue,"Minneapolis, Minn.",W 24-0
1894,1894 Football,11/10/1894,TBA,Home,Beloit,"Minneapolis, Minn.",W 40-0
1896,1896 Football,09/26/1896,TBA,Home,Minneapolis Central High School,"Minneapolis, Minn.",W 50-0
1896,1896 Football,10/03/1896,TBA,Home,Carleton,"Minneapolis, Minn.",W 16-6
1896,1896 Football,10/10/1896,TBA,Home,Grinnell,"Minneapolis, Minn.",W 12-0
1896,1896 Football,10/17/1896,TBA,Home,Purdue,"Minneapolis, Minn.",W 14-0
1896,1896 Football,10/24/1896,TBA,Home,Iowa State,"Minneapolis, Minn.",W 18-6
1896,1896 Football,10/31/1896,TBA,Home,Ex-Collegiates,"Minneapolis, Minn.",W 8-0
1896,1896 Football,11/07/1896,TBA,Home,Michigan,"Minneapolis, Minn.",L 4-6
1897,1897 Football,09/25/1897,TBA,Home,South High,"Minneapolis, Minn.",W 22-0
1897,1897 Football,10/02/1897,TBA,Home,Macalester,"Minneapolis, Minn.",W 26-0
1897,1897 Football,10/09/1897,TBA,Home,Carleton,"Minneapolis, Minn.",W 48-6
1897,1897 Football,10/16/1897,TBA,Home,Grinnell,"Minneapolis, Minn.",W 6-0
1897,1897 Football,10/23/1897,TBA,Home,Iowa State,"Minneapolis, Minn.",L 10-12
1897,1897 Football,10/30/1897,TBA,Home,Wisconsin,"Minneapolis, Minn.",L 0-39
1898,1898 Football,10/01/1898,TBA,Home,Carleton,"Minneapolis, Minn.",W 32-0
1898,1898 Football,10/05/1898,TBA,Home,Alumni,"Minneapolis, Minn.",L 0-5
1898,1898 Football,10/08/1898,TBA,Home,Rush,"Minneapolis, Minn.",W 12-0
1898,1898 Football,10/15/1898,TBA,Home,Grinnell,"Minneapolis, Minn.",L 6-16
1898,1898 Football,10/22/1898,TBA,Home,Iowa State,"Minneapolis, Minn.",L 0-6
1898,1898 Football,11/12/1898,TBA,Home,Northwestern,"Minneapolis, Minn.",W 17-6
1899,1899 Football,09/26/1899,TBA,Home,Minneapolis Central High School,"Minneapolis, Minn.",W 20-0
1899,1899 Football,10/03/1899,TBA,Home,Macalester,"Minneapolis, Minn.",W 29-0
1899,1899 Football,10/07/1899,TBA,Home,Shattuck,"Minneapolis, Minn.",W 40-0
1899,1899 Football,10/14/1899,TBA,Home,Carleton,"Minneapolis, Minn.",W 35-5
1899,1899 Football,10/21/1899,TBA,Home,Iowa State,"Minneapolis, Minn.",W 6-0
1899,1899 Football,10/28/1899,TBA,Home,Grinnell,"Minneapolis, Minn.",T 5-5
1899,1899 Football,11/04/1899,TBA,Home,Northwestern,"Minneapolis, Minn.",L 5-11
1899,1899 Football,11/08/1899,TBA,Home,Alumni,"Minneapolis, Minn.",W 6-5
1899,1899 Football,11/11/1899,TBA,Home,Beloit,"Minneapolis, Minn.",T 5-5
1899,1899 Football,11/18/1899,TBA,Home,Wisconsin,"Minneapolis, Minn.",L 0-19
1900,1900 Football,09/15/1900,TBA,Home,Central HS,"Minneapolis, Minn.",T 0-0
1900,1900 Football,09/22/1900,TBA,Home,St. Paul Central High School,"Minneapolis, Minn.",W 26-0
1900,1900 Football,09/26/1900,TBA,Home,Macalester,"Minneapolis, Minn.",W 66-0
1900,1900 Football,09/29/1900,TBA,Home,Carleton,"Minneapolis, Minn.",W 44-0
1900,1900 Football,10/06/1900,TBA,Home,Iowa State,"Minneapolis, Minn.",W 27-0
1900,1900 Football,10/13/1900,TBA,Home,Chicago,"Minneapolis, Minn.",T 6-6
1900,1900 Football,10/20/1900,TBA,Home,Grinnell,"Minneapolis, Minn.",W 26-0
1900,1900 Football,10/27/1900,TBA,Home,North Dakota,"Minneapolis, Minn.",W 34-0
1900,1900 Football,11/03/1900,TBA,Home,Wisconsin,"Minneapolis, Minn.",W 6-5
1900,1900 Football,11/10/1900,TBA,Home,Illinois,"Minneapolis, Minn.",W 23-0
1900,1900 Football,11/17/1900,TBA,Home,Northwestern,"Minneapolis, Minn.",W 21-0
1900,1900 Football,11/29/1900,TBA,Home,Nebraska,"Minneapolis, Minn.",W 20-12
1901,1901 Football,09/21/1901,TBA,Home,Central HS,"Minneapolis, Minn.",T 0-0
1901,1901 Football,09/21/1901,TBA,Home,St. Paul Central High School,"Minneapolis, Minn.",W 16-0
1901,1901 Football,09/28/1901,TBA,Home,Carleton,"Minneapolis, Minn.",W 35-0
1901,1901 Football,10/05/1901,TBA,Home,Chicago College,"Minneapolis, Minn.",W 27-0
1901,1901 Football,10/12/1901,TBA,Home,Nebraska,"Minneapolis, Minn.",W 19-0
1901,1901 Football,10/26/1901,TBA,Home,Iowa,"Minneapolis, Minn.",W 16-0
1901,1901 Football,11/04/1901,TBA,Home,Haskell,"Minneapolis, Minn.",W 28-0
1901,1901 Football,11/09/1901,TBA,Home,North Dakota,"Minneapolis, Minn.",W 10-0
1902,1902 Football,09/22/1902,TBA,Home,Minneapolis Central High School,"Minneapolis, Minn.",W 28-0
1902,1902 Football,09/22/1902,TBA,Home,St. Paul Central High School,"Minneapolis, Minn.",T 0-0
1902,1902 Football,09/27/1902,TBA,Home,Carleton,"Minneapolis, Minn.",W 33-0
1902,1902 Football,10/04/1902,TBA,Home,Iowa State,"Minneapolis, Minn.",W 16-0
1902,1902 Football,10/07/1902,TBA,Home,Hamline,"Minneapolis, Minn.",W 59-0
1902,1902 Football,10/11/1902,TBA,Home,Beloit,"Minneapolis, Minn.",W 29-0
1902,1902 Football,10/18/1902,TBA,Home,Nebraska,"Minneapolis, Minn.",L 0-6
1902,1902 Football,11/01/1902,TBA,Home,Grinnell,"Minneapolis, Minn.",W 102-0
1902,1902 Football,11/08/1902,TBA,Home,Illinois,"Minneapolis, Minn.",W 17-5
1902,1902 Football,11/15/1902,TBA,Home,Wisconsin,"Minneapolis, Minn.",W 11-0
1903,1903 Football,09/19/1903,TBA,Home,St. Paul Central High School,"Minneapolis, Minn.",W 36-0
1903,1903 Football,09/19/1903,TBA,Home,Minneapolis Central High School,"Minneapolis, Minn.",W 21-6
1903,1903 Football,09/23/1903,TBA,Home,East HS,"Minneapolis, Minn.",W 37-0
1903,1903 Football,09/26/1903,TBA,Home,Carleton,"Minneapolis, Minn.",W 29-0
1903,1903 Football,09/30/1903,TBA,Home,Macalester,"Minneapolis, Minn.",W 112-0
1903,1903 Football,10/03/1903,TBA,Home,Grinnell,"Minneapolis, Minn.",W 39-0
